OBJECTID,FOLIO,ID,NAME,CAMPUS,ADDRESS,UNIT,CITY,ZIPCODE,PHONE,EMAIL,TYPE,GRADES,CAPACITY,ENROLLMNT,REGION,LAT,LON,POINT_X,POINT_Y,CREATED BY,CREATED DATE,MODIFIED BY,MODIFIED DATE,GlobalID,x,y,
1,1.31131E+11,7301,Miami Edison Senior High, ,6161 NW 5th Ct, ,Miami,33127,305-751-7337,,S,12-Sep,1624,630,C,25.83181,-80.2049,917698.2505,545351.6248,E316899,6/11/2020 9:42,E316899,4/3/2023 12:58,3d0a27bb-e1eb-4863-b364-5ab57441da39,-8928367.294,2978265.074,
2,3.04021E+12,441,Blue Lakes K-8 Center, ,9250 SW 52nd Ter, ,Miami-Dade,33165,305-271-7411,,E,PK-8,611,385,S,25.71817,-80.34423,872072.8125,503797.4375,E316899,6/11/2020 9:42,E316899,3/24/2023 12:34,8564d17d-3e6e-4b4e-ad0f-98b108a94e29,-8943877.701,2964217.806,
3,6.2219E+11,341,Arch Creek Elementary, ,702 NE 137th St, ,North Miami,33161,305-892-4000,,E,PK-5,606,433,N,25.90097,-80.18436,924292.9495,570530.7731,E316899,6/11/2020 9:42,E316899,3/23/2023 15:51,d2ff5da3-2864-463e-8c0c-c15de8f7d37a,-8926082.663,2986821.161,
4,3.04923E+12,4741,Royal Green Elementary, ,13047 SW 47th St, ,Miami-Dade,33175,305-221-4452,,E,PK-5,722,441,S,25.7223,-80.40552,851886.6421,505201.0369,E316899,6/11/2020 9:42,E316899,4/3/2023 15:24,ff68e484-3bfa-4130-9ae7-c185959f21de,-8950700.529,2964727.462,
5,3.0692E+12,6761,Redland Middle, ,16001 SW 248th St, ,Miami-Dade,33031,305-247-6112,,M,8-Jun,1253,663,S,25.53672,-80.45208,836831.833,437688.2399,E316899,6/11/2020 9:42,E316899,4/3/2023 15:04,faca97b3-df34-4518-b597-b348a156fc7a,-8955885.226,2941815.074,
6,4.2026E+11,4241,Palm Lakes Elementary, ,7450 W 16th Ave, ,Hialeah,33014,305-823-6970,,E,PK-5,978,598,N,25.89043,-80.3163,880940.9195,566452.7794,E316899,6/11/2020 9:42,E316899,4/3/2023 14:40,895356c5-913b-4b5c-b577-8c3fddeb1938,-8940769.376,2985517.18,
7,3.4129E+11,6741,Ponce de Leon Middle, ,5801 Augusto St, ,Coral Gables,33146,305-661-1611,,M,8-Jun,1287,902,C,25.71643,-80.27195,895870.8651,503289.9836,E316899,6/11/2020 9:42,E316899,4/3/2023 14:54,fb72adbe-a8da-474a-a675-80e653ea284a,-8935832.63,2964002.905,
8,1.12231E+12,3341,Miami Shores Elementary, ,10351 NE 5th Ave, ,Miami Shores,33138,305-758-5525,,E,PK-5,714,567,C,25.87037,-80.18724,923414.1353,559404.8329,E316899,6/11/2020 9:42,E316899,4/3/2023 13:08,f3e4e48f-f940-4f0a-97f3-d6ae3cbb890f,-8926403.567,2983035.646,
9,3.0311E+12,1681,Lillie C. Evans K-8 Center, ,1895 NW 75th St, ,Miami-Dade,33147,305-691-4973,,E,PK-8,600,330,C,25.8434,-80.22907,909718.9074,549518.1436,E316899,6/11/2020 9:42,E316899,4/3/2023 12:35,9ce54253-2a99-415f-9440-b4c089fea8e6,-8931059.327,2979699.011,
10,1.31361E+11,9015,School Board Adm - Main Building, ,1450 NE 2nd Ave, ,Miami,33132,305-995-1106,,A,0,0,0, ,25.78904,-80.19102,922353.6404,529835.368,E316899,6/11/2020 9:42,E316899,4/4/2023 15:18,60b8ea29-0651-44f3-ba43-6dd90fedb90f,-8926824.146,2972976.836,
